fecha,titulo,autor(a),categoria,enlace
2023-02-28,Enfermedades raras: urgen equidad y acceso a tratamientos para pacientes,Metro Puerto RicoMetro Puerto Rico,Noticias,https://www.metro.pr/metro-negocios/2023/02/28/enfermedades-raras-urgen-equidad-y-acceso-a-tratamientos-para-pacientes/
2023-02-28,Presentan medida para que no se cobre IVU en el casco urbano de Río Piedras  ,Metro Puerto Rico,Noticias,https://www.metro.pr/noticias/2023/02/28/presentan-medida-para-que-no-se-cobre-ivu-en-el-casco-urbano-de-rio-piedras/
2023-02-23,DACO inspeccionará estacionamientos públicos a través de toda la isla,Metro Puerto Rico,Noticias,https://www.metro.pr/noticias/2023/02/23/daco-inspeccionara-estacionamientos-publicos-a-traves-de-toda-la-isla/
2023-02-23,La Concha anuncia alianza con Marriott para renovar el hotel ,Metro Puerto Rico,Noticias,https://www.metro.pr/noticias/2023/02/23/la-concha-anuncia-alianza-con-marriott-para-renovar-el-hotel/
2023-02-23,Piden aprobar proyecto de ley que paga incentivos a contribuyentes para mitigar aumento en tasa de inflación  ,Metro Puerto Rico,Noticias,https://www.metro.pr/noticias/2023/02/23/piden-aprobar-proyecto-de-ley-que-paga-incentivos-a-contribuyentes-para-mitigar-aumento-en-tasa-de-inflacion/
2023-02-16,Forbes Travel Guide otorga 5 estrellas a The St Regis Bahía Beach Resort y a su Iridium Spa, Comunicado,Noticias,https://www.metro.pr/metro-negocios/2023/02/16/forbes-travel-guide-otorga-5-estrellas-a-the-st-regis-bahia-beach-resort-y-a-su-iridium-spa/
2023-02-16,¡Celebremos todo el mes de febrero!,Metro Puerto Rico,Noticias,https://www.metro.pr/metro-negocios/2023/02/16/celebremos-todo-el-mes-de-febrero/
2023-02-13,"Evolución de Ventas, tema central del 2023 SME SALES SUMMIT",Metro Puerto Rico,Noticias,https://www.metro.pr/metro-negocios/2023/02/13/evolucion-de-ventas-tema-central-del-2023-sme-sales-summit/
2023-02-02,T-Mobile anuncia ofertas con el nuevo Samsung Galaxy S23,Metro Puerto Rico,Noticias,https://www.metro.pr/metro-negocios/2023/02/02/t-mobile-anuncia-ofertas-con-el-nuevo-samsung-galaxy-s23/
2023-01-20,ASC recibe la prestigiosa certificación  Great Place To Work™ 2022-2023 en el Caribe y Centroamérica,Metro Puerto Rico,Noticias,https://www.metro.pr/metro-negocios/2023/01/20/asc-recibe-la-prestigiosa-certificacion-great-place-to-work-2022-2023-en-el-caribe-y-centroamerica/
2023-01-17,Nuevo presidente en firma operadora de hoteles en Puerto Rico,Metro Puerto Rico,Noticias,https://www.metro.pr/metro-negocios/2023/01/17/nuevo-presidente-en-firma-operadora-de-hoteles-en-puerto-rico/
2023-01-17,Evento de “speed networking” busca fortalecer  el ecosistema empresarial aguadillana,Metro Puerto Rico,Noticias,https://www.metro.pr/metro-negocios/2023/01/17/evento-de-speed-networking-busca-fortalecer-el-ecosistema-empresarial-aguadillana/
2023-01-16,Condom World planifica seguir expandiendo su presencia en Florida,Metro Puerto Rico,Noticias,https://www.metro.pr/metro-negocios/2023/01/16/condom-world-planifica-seguir-expandiendo-su-presencia-en-florida/
2023-01-04,"Toyota cierra el 2022 con 37,214 unidades vendidas en Puerto Rico",Metro Puerto Rico,Noticias,https://www.metro.pr/metro-negocios/2023/01/04/toyota-cierra-el-2022-con-37214-unidades-vendidas-en-puerto-rico/
2022-12-22,"Popular Auto Charity Golf Classic recauda $400,000 en su 25 aniversario",Metro Puerto Rico,Noticias,https://www.metro.pr/metro-negocios/2022/12/22/popular-auto-charity-golf-classic-recauda-400000-en-su-25-aniversario/
