fecha,titulo,autor(a),categoria,enlace
2023-03-08,Abogado de sospechoso de la masacre en Cataño tilda el caso criminal de “represalia”,Rafelli González,Ley y Orden,https://www.elvocero.com/ley-y-orden/policiacas/abogado-de-sospechoso-de-la-masacre-en-cata-o-tilda-el-caso-criminal-de-represalia/article_176750e2-bde2-11ed-9d21-df80adee644f.html
2023-03-08,"""Bubu"" había resultado herido en el asesinato de ""Pinky Curvy""",Miguel Rivera Puig,Ley y Orden,https://www.elvocero.com/ley-y-orden/policiacas/bubu-hab-a-resultado-herido-en-el-asesinato-de-pinky-curvy/article_9e91ae14-bdd8-11ed-8a61-3328e0fb8a5b.html
2023-03-08,Cierran caso de Celivelys Rivera Santiago luego de ser entrevistada por la Policía,Miguel Rivera Puig,Ley y Orden,https://www.elvocero.com/ley-y-orden/policiacas/cierran-caso-de-celivelys-rivera-santiago-luego-de-ser-entrevistada-por-la-polic-a/article_98bcb326-bddd-11ed-be5e-f7c9dd24891a.html
2023-03-08,PFEI ordena archivo de caso contra el alcalde de Aguadilla,Redacción,Ley y Orden,https://www.elvocero.com/ley-y-orden/justicia/pfei-ordena-archivo-de-caso-contra-el-alcalde-de-aguadilla/article_62332e0c-bdd8-11ed-be71-0bf0c4adb197.html
2023-03-07,Hallan un cuerpo flotando en la playa Las Mujeres,Redacción,Ley y Orden,https://www.elvocero.com/ley-y-orden/policiacas/hallan-un-cuerpo-flotando-en-la-playa-las-mujeres/article_e6f4473a-bd2d-11ed-b66e-c3b9198394d6.html
2023-03-07,Se roban 25 bolas de baloncesto de complejo recreativo en Manatí,Redacción,Ley y Orden,https://www.elvocero.com/ley-y-orden/policiacas/se-roban-25-bolas-de-baloncesto-de-complejo-recreativo-en-manat/article_048c3f42-bd05-11ed-9b02-bb0817d34126.html
2023-03-07,Arrestan a hombre y a su madre de 72 años con relación a violento carjacking en Hatillo,Miguel Rivera Puig,Ley y Orden,https://www.elvocero.com/ley-y-orden/policiacas/arrestan-a-hombre-y-a-su-madre-de-72-a-os-con-relaci-n-a/article_40d35152-bcf1-11ed-aed3-c78fa912b500.html
2023-03-07,Defensa de la exgobernadora Wanda Vázquez quiere acelerar el proceso judicial,Nahira Montcourt  Pedro Menéndez Sanabria,Ley y Orden,https://www.elvocero.com/ley-y-orden/federal/defensa-de-la-exgobernadora-wanda-v-zquez-quiere-acelerar-el-proceso-judicial/article_b52f1380-bcfe-11ed-8700-2ff121815ceb.html
2023-03-07,"Arrestan a ""Mota"" y supuestos secuaces durante intervención policíaca",Redacción,Ley y Orden,https://www.elvocero.com/ley-y-orden/policiacas/arrestan-a-mota-y-supuestos-secuaces-durante-intervenci-n-polic-aca/article_26fafb48-bd02-11ed-8570-ef06db468322.html
2023-03-07,"Mujer cae en ""pescaito"" y paga por conocer los números ganadores del Pega 3 y 4",CyberNews,Ley y Orden,https://www.elvocero.com/ley-y-orden/policiacas/mujer-cae-en-pescaito-y-paga-por-conocer-los-n-meros-ganadores-del-pega-3/article_b65ac786-bd2b-11ed-b44f-1b291f08806c.html
2023-03-07,Arrestan a convicto federal sospechoso de asesinar a estudiante en Canóvanas,Miguel Rivera Puig,Ley y Orden,https://www.elvocero.com/ley-y-orden/policiacas/arrestan-a-convicto-federal-sospechoso-de-asesinar-a-estudiante-en-can-vanas/article_ecb50c0e-bcf6-11ed-b0b4-b3a7d1e1f119.html
2023-03-07,Escalan residencia en Guaynabo,Redacción,Ley y Orden,https://www.elvocero.com/ley-y-orden/policiacas/escalan-residencia-en-guaynabo/article_a208b722-bd1a-11ed-a7d4-73abe26601f7.html
2023-03-07,Guardias de seguridad agreden hombre en club de Santurce,CyberNews,Ley y Orden,https://www.elvocero.com/ley-y-orden/policiacas/guardias-de-seguridad-agreden-hombre-en-club-de-santurce/article_9046a380-bd21-11ed-a13b-a783d73f17ba.html
2023-03-07,Tribunal pospone presentación de cargos contra sospechoso de disparar en manifestación,CyberNews,Ley y Orden,https://www.elvocero.com/ley-y-orden/justicia/tribunal-pospone-presentaci-n-de-cargos-contra-sospechoso-de-disparar-en-manifestaci-n/article_c36f71ce-bd35-11ed-9de3-cf72ca7b690c.html
2023-03-07,FEI archiva caso contra alcalde de Isabela,CyberNews,Ley y Orden,https://www.elvocero.com/ley-y-orden/policiacas/fei-archiva-caso-contra-alcalde-de-isabela/article_d67c4b42-bd09-11ed-a8cb-4b9de5095138.html
2023-03-07,Arrestan a hombre de 81 años por presuntamente abandonar a perro en un saco,CyberNews,Ley y Orden,https://www.elvocero.com/ley-y-orden/policiacas/arrestan-a-hombre-de-81-a-os-por-presuntamente-abandonar-a-perro-en-un-saco/article_9b89c8dc-bced-11ed-8c54-135e261875fb.html
