fecha,titulo,autor(a),categoria,enlace
2023-03-09,Policía investiga aparente incidente de violencia de género captado en video ,NotiCel,La-Calle,https://www.noticel.com/la-calle/policiacas/20230309/policia-investiga-aparente-incidente-de-violencia-de-genero-captado-en-video/
2023-03-09,Biden presenta un presupuesto destinado a conquistar la clase trabajadora,EFE,Estados-Unidos,https://www.noticel.com/estados-unidos/mundo/20230309/biden-presenta-un-presupuesto-destinado-a-conquistar-la-clase-trabajadora/
2023-03-09,Una lesión obliga a Xander Zayas a retirarse de la cartelera del 1 de abril ,NotiCel,Deportes,https://www.noticel.com/deportes/20230309/una-lesion-obliga-a-xander-zayas-a-retirarse-de-la-cartelera-del-1-de-abril/
2023-03-09,Juez dicta 36 meses de prisión preventiva para el expresidente de Perú ,EFE,Mundo,https://www.noticel.com/mundo/20230309/juez-dicta-36-meses-de-prision-preventiva-para-el-expresidente-de-peru/
2023-03-09,Jueces ratifican ley que impide comprar armas antes de los 21 años en Florida,EFE,Estados-Unidos,https://www.noticel.com/estados-unidos/mundo/20230309/jueces-ratifican-ley-que-impide-comprar-armas-antes-de-los-21-anos-en-florida/
2023-03-09,Kevin Durant volverá a perder juegos por lesión ,EFE,Nba,https://www.noticel.com/nba/baloncesto/deportes/20230309/kevin-durant-volvera-a-perder-juegos-por-lesion/
2023-03-09,Un tiroteo en un local de Testigos de Jehová en Alemania causa al menos 6 muertos,EFE,Mundo,https://www.noticel.com/mundo/20230309/un-tiroteo-en-un-local-de-testigos-de-jehova-en-alemania-causa-al-menos-6-muertos/
2023-03-09,Yuli Gurriel acuerda por una temporada con los Marlins,EFE,Mlb,https://www.noticel.com/mlb/beisbol/deportes/20230309/yuli-gurriel-acuerda-por-una-temporada-con-los-marlins/
2023-03-09,ACT anuncia cierre de varios carriles de un puente del Expreso Martínez Nadal  ,NotiCel,Ahora,https://www.noticel.com/ahora/gobierno/20230309/act-anuncia-cierre-de-varios-carriles-de-un-puente-del-expreso-martinez-nadal/
2023-03-09,"Fallece Robert Blake, actor de la serie ""Baretta"" ",EFE,Pop,https://www.noticel.com/pop/fama/20230309/fallece-robert-blake-actor-de-la-serie-baretta/
2023-03-09,"Biden pide otros $6,000 millones para Ucrania",EFE,Estados-Unidos,https://www.noticel.com/estados-unidos/mundo/20230309/biden-pide-otros-6000-millones-para-ucrania/
2023-03-09,"La Policía afirma que ""Bubu"" también mantiene enemigos en la cárcel",NotiCel,Policiacas,https://www.noticel.com/policiacas/la-calle/20230309/la-policia-afirma-que-bubu-tambien-mantiene-enemigos-en-la-carcel/
