fecha,titulo,autor(a),categoria,periodico,region,enlace
2023-01-27,Exitoso primer día de la nueva Oficina de Registro Demográfico en Yabucoa ,Redacción El Oriental,Noticias,El Oriental,Humacao,http://periodicoeloriental.com/noticias/exitoso-primer-dia-de-la-nueva-oficina-de-registro-demografico-en-yabucoa/
2023-01-27,Se gradúan 127 nuevos agentes del Negociado de la Policía,Redacción El Oriental,Noticias,El Oriental,Humacao,http://periodicoeloriental.com/noticias/se-graduan-127-nuevos-agentes-del-negociado-de-la-policia/
2023-01-25,ACT demolerá puente sobre Quebrada Ceiba en carretera PR-3 en municipio de Ceiba,Redacción El Oriental,Municipios,El Oriental,Humacao,http://periodicoeloriental.com/noticias/act-demolera-puente-sobre-quebrada-ceiba-en-carretera-pr-3-en-municipio-de-ceiba/
2023-01-25,Registro Demográfico extiende su presencia en Municipios de la Zona,Magaly Monserrate-Cerpa,Municipios,El Oriental,Humacao,http://periodicoeloriental.com/noticias/registro-demografico-extiende-su-presencia-en-municipios-de-la-zona/
2023-01-25,Avanzan mejoras en Planta Sanitaria Regional de Humacao,Redacción El Oriental,Noticias,El Oriental,Humacao,http://periodicoeloriental.com/noticias/avanzan-mejoras-en-planta-sanitaria-regional-de-humacao/
2023-01-19,Junqueña Sara Clemente reconocida por el Grupo 21,Magaly Monserrate-Cerpa,Municipios,El Oriental,Humacao,http://periodicoeloriental.com/noticias/junquena-sara-clemente-reconocida-por-el-grupo-21/
2023-01-19,Alcalde de Las Piedras anuncia apertura de Registro Demográfico,Redacción El Oriental,Municipios,El Oriental,Humacao,http://periodicoeloriental.com/noticias/alcalde-de-las-piedras-anuncia-apertura-de-registro-demografico/
2023-01-18,Resurge preocupación por oscuridad en Puente de Yabucoa,Magaly Monserrate-Cerpa,Municipios,El Oriental,Humacao,http://periodicoeloriental.com/noticias/resurge-preocupacion-por-oscuridad-en-puente-de-yabucoa/
2023-01-11,Alcalde de Humacao resume sus primeros seis meses y proyección de futuro para la...,Magaly Monserrate-Cerpa,Municipios,El Oriental,Humacao,http://periodicoeloriental.com/noticias/alcalde-de-humacao-resume-sus-primeros-seis-meses-y-proyeccion-de-futuro-para-la-ciudad/
2023-01-11,Celebrarán en Yabucoa importante competencia de skateboards,Magaly Monserrate-Cerpa,Municipios,El Oriental,Humacao,http://periodicoeloriental.com/noticias/celebraran-en-yabucoa-importante-competencia-de-skateboards/
2023-01-10,Arrancan los Mercados Familiares del 2023,Redacción El Oriental,Municipios,El Oriental,Humacao,http://periodicoeloriental.com/noticias/arrancan-los-mercados-familiares-del-2023/
2022-12-29,Policía Municipal de Caguas encabeza caravana educativa por una Navidad segura,Redacción El Oriental,Municipios,El Oriental,Humacao,http://periodicoeloriental.com/noticias/policia-municipal-de-caguas-encabeza-caravana-educativa-por-una-navidad-segura/
2022-12-29,Reemplazará residencia afectada por sismos en Humacao,Redacción El Oriental,Municipios,El Oriental,Humacao,http://periodicoeloriental.com/noticias/reemplazara-residencia-afectada-por-sismos-en-humacao/
2022-12-29,Reunión informativa de seguridad área de Humacao,Redacción El Oriental,Municipios,El Oriental,Humacao,http://periodicoeloriental.com/noticias/reunion-informativa-de-seguridad-area-de-humacao/
2022-12-23,Realizarán mejoras en PR-1 en ambas direcciones entre San Juan y Caguas,Redacción El Oriental,Municipios,El Oriental,Humacao,http://periodicoeloriental.com/noticias/realizaran-mejoras-en-pr-1-en-ambas-direcciones-entre-san-juan-y-caguas/
2022-12-21,"AAA invierte $1 millón en mejoras a sus sistemas en Humacao, Yabucoa, Naguabo, Las...",Redacción El Oriental,Municipios,El Oriental,Humacao,http://periodicoeloriental.com/noticias/aaa-invierte-1-millon-en-mejoras-a-sus-sistemas-en-humacao-yabucoa-naguabo-las-piedras-y-juncos/
2022-12-21,Anuncian Recesos Navideños Municipios de la Región,Magaly Monserrate-Cerpa,Municipios,El Oriental,Humacao,http://periodicoeloriental.com/noticias/anuncian-recesos-navidenos-municipios-de-la-region/
2022-12-21,Fiesta de Reyes en Neomed de Naguabo,Redacción El Oriental,Municipios,El Oriental,Humacao,http://periodicoeloriental.com/noticias/fiesta-de-reyes-en-neomed-de-naguabo/
2022-12-21,De Humacao a los Premios Oscar,Redacción El Oriental,Municipios,El Oriental,Humacao,http://periodicoeloriental.com/noticias/de-humacao-a-los-premios-oscar/
2022-12-21,"Fajardo entrega sobre 1,200 vales para alimentos",Redacción El Oriental,Municipios,El Oriental,Humacao,http://periodicoeloriental.com/noticias/fajardo-entrega-sobre-1200-vales-para-alimentos/
2022-12-20,Inicia operaciones moderna planta de reciclar neumáticos en Yabucoa,Redacción El Oriental,Municipios,El Oriental,Humacao,http://periodicoeloriental.com/noticias/inicia-operaciones-moderna-planta-de-reciclar-neumaticos-en-yabucoa/
2022-12-14,Envejecientes de Ceiba se reúnen en la Plaza Pública,Redacción El Oriental,Municipios,El Oriental,Humacao,http://periodicoeloriental.com/noticias/envejecientes-de-ceiba-se-reunen-en-la-plaza-publica/
2022-12-14,Alerta ante repunte del COVID-19 en Humacao,Magaly Monserrate-Cerpa,Municipios,El Oriental,Humacao,http://periodicoeloriental.com/noticias/alerta-ante-repunte-del-covid-19-en-humacao/
2022-12-14,Con las manos llenas en Navidad la Comandancia de la Policía de Humacao,Magaly Monserrate-Cerpa,Municipios,El Oriental,Humacao,http://periodicoeloriental.com/noticias/con-las-manos-llenas-en-navidad-la-comandancia-de-la-policia-de-humacao/
2022-12-09,Recital del programa de música en Ceiba,Redacción El Oriental,Municipios,El Oriental,Humacao,http://periodicoeloriental.com/noticias/recital-del-programa-de-musica-en-ceiba/
2022-12-05,Alcalde de Humacao anuncia comienzo trabajos carril de la PR-60,Redacción El Oriental,Municipios,El Oriental,Humacao,http://periodicoeloriental.com/noticias/alcalde-de-humacao-anuncia-comienzo-trabajos-carril-de-la-pr-60/
2022-12-02,Organización “Por los nuestros” inaugura acueducto comunitario en Yabucoa,Redacción El Oriental,Municipios,El Oriental,Humacao,http://periodicoeloriental.com/noticias/organizacion-por-los-nuestros-inaugura-acueducto-comunitario-en-yabucoa/
2022-12-01,Regresa Competencia de Decoraciones Navideñas en Juncos,Redacción El Oriental,Municipios,El Oriental,Humacao,http://periodicoeloriental.com/actividades/regresa-competencia-de-decoraciones-navidenas-en-juncos/
2022-11-30,Niño humacaeño hace realidad su sueño de Navidad,Redacción El Oriental,Municipios,El Oriental,Humacao,http://periodicoeloriental.com/actividades/nino-humacaeno-hace-realidad-su-sueno-de-navidad/
2022-11-30,"Gabriel de Juncos, derriba barreras con su ejemplo",Magaly Monserrate-Cerpa,Municipios,El Oriental,Humacao,http://periodicoeloriental.com/noticias/gabriel-de-juncos-derriba-barreras-con-su-ejemplo/
2022-11-30,"Parrandón Playero, fiesta con propósito y tradición",Magaly Monserrate-Cerpa,Municipios,El Oriental,Humacao,http://periodicoeloriental.com/actividades/parrandon-playero-fiesta-con-proposito-y-tradicion/
2022-11-30,Fondita de Jesús llega a Humacao con sus servicios de Salud,Magaly Monserrate-Cerpa,Municipios,El Oriental,Humacao,http://periodicoeloriental.com/noticias/fondita-de-jesus-llega-a-humacao-con-sus-servicios-de-salud/
