fecha,titulo,autor,categoria,enlace
2023-03-01,Renuncia ministro de transporte de Grecia tras choque de trenes que dejó a 36 muertos,Servicios combinados,Mundo,http://www.primerahora.com/noticias/mundo/notas/renuncia-ministro-de-transporte-de-grecia-tras-choque-de-trenes-que-dejo-a-36-muertos/
2023-03-01,¿Aceite de oliva en el café? Idea causa curiosidad en Italia,The Associated Press,Mundo,http://www.primerahora.com/noticias/mundo/notas/aceite-de-oliva-en-el-cafe-idea-causa-curiosidad-en-italia/
2023-03-01,Sube a 43 el número de muertos por choque de trenes en Grecia,Servicios combinados,Mundo,http://www.primerahora.com/noticias/mundo/notas/sube-a-43-el-numero-de-muertos-por-choque-de-trenes-en-grecia/
2023-03-01,Cerezos de Washington D.C. florecen antes de tiempo,The Associated Press,Estados-Unidos,http://www.primerahora.com/noticias/estados-unidos/notas/cerezos-de-washington-dc-florecen-antes-de-tiempo/
2023-03-01,Ángel Pérez tiene hasta el mediodía para determinar si se declarará culpable,Frances Rosario,Gobierno-Politica,http://www.primerahora.com/noticias/gobierno-politica/notas/angel-perez-tiene-hasta-el-mediodia-para-determinar-si-se-declarara-culpable/
2023-03-01,FOTOS: Trágico choque de trenes en Grecia deja 36 muertos y 85 heridos,No autor,Mundo,http://www.primerahora.com/noticias/mundo/fotogalerias/fotos-tragico-choque-de-trenes-en-grecia-deja-36-muertos-y-85-heridos/
2023-03-01,Aumentan a 36 los muertos por choque de trenes en Grecia,Agencia EFE,Mundo,http://www.primerahora.com/noticias/mundo/notas/aumentan-a-36-los-muertos-por-choque-de-trenes-en-grecia/
2023-03-01,Terremoto de magnitud 6.5 sacude Papúa Nueva Guinea ,Agencia EFE,Mundo,http://www.primerahora.com/noticias/mundo/notas/terremoto-de-magnitud-65-sacude-papua-nueva-guinea/
2023-03-01,Acusan hombre por cargos de actos lascivos ,Primera Hora,Policia-Tribunales,http://www.primerahora.com/noticias/policia-tribunales/notas/acusan-hombre-por-cargos-de-actos-lascivos/
2023-03-01,Protestan contra extensión del Hotel Normandie ,Agencia EFE,Puerto-Rico,http://www.primerahora.com/noticias/puerto-rico/notas/protestan-contra-extension-del-hotel-normandie/
2023-03-01,Presentan cargos contra hombre que impactó el automóvil de su pareja intencionalmente,Primera Hora,Policia-Tribunales,http://www.primerahora.com/noticias/policia-tribunales/notas/presentan-cargos-contra-hombre-que-impacto-el-automovil-de-su-pareja-intencionalmente/
2023-03-01,Policía Municipal de San Juan arresta hombre que manejaba vehículo hurtado tras persecución ,Primera Hora,Policia-Tribunales,http://www.primerahora.com/noticias/policia-tribunales/notas/policia-municipal-de-san-juan-arresta-hombre-que-manejaba-vehiculo-hurtado-tras-persecucion/
2023-03-01,Capturan fugitivo en Sabana Grande ,Primera Hora,Policia-Tribunales,http://www.primerahora.com/noticias/policia-tribunales/notas/capturan-fugitivo-en-sabana-grande/
2023-03-01,Agentes federales ocupan cargamento millonario de cocaína en costa sur de la isla ,Primera Hora,Policia-Tribunales,http://www.primerahora.com/noticias/policia-tribunales/notas/agentes-federales-ocupan-cargamento-millonario-de-cocaina-en-costa-sur-de-la-isla/
2023-03-01,Se registra temperatura de 47 grados en Adjuntas,Primera Hora,Puerto-Rico,http://www.primerahora.com/noticias/puerto-rico/notas/se-registra-temperatura-de-47-grados-en-adjuntas/
2023-03-01,Coalición 8 de marzo convoca manifestación frente a edificio de Recursos Naturales,Primera Hora,Puerto-Rico,http://www.primerahora.com/noticias/puerto-rico/notas/coalicion-8-de-marzo-convoca-manifestacion-frente-a-edificio-de-recursos-naturales/
2023-03-01,Banco de Desarrollo Económico y PRiMEX firman acuerdo para impulsar la manufactura,Osman Pérez Méndez,Puerto-Rico,http://www.primerahora.com/noticias/puerto-rico/notas/banco-de-desarrollo-economico-y-primex-firman-acuerdo-para-impulsar-la-manufactura/
2023-03-01,Juicio contra policía por atropellar legisladora municipal y huir de la escena inicia en abril,Maribel Hernández Pérez,Policia-Tribunales,http://www.primerahora.com/noticias/policia-tribunales/notas/juicio-contra-policia-por-atropellar-legisladora-municipal-y-huir-de-la-escena-inicia-en-abril/
2023-03-01,A la cárcel hombre sospechoso de agredir sexualmente a su pareja,Primera Hora,Policia-Tribunales,http://www.primerahora.com/noticias/policia-tribunales/notas/a-la-carcel-hombre-sospechoso-de-agredir-sexualmente-a-su-pareja/
2023-03-01,Autor de obra removida en alcaldía de Ponce se expresa dolido,Sandra Torres Guzmán,Puerto-Rico,http://www.primerahora.com/noticias/puerto-rico/notas/autor-de-obra-removida-en-alcaldia-de-ponce-se-expresa-dolido/
2023-03-01,Hombre enmascarado ataca a tiros a hombre en su casa en Cayey ,Primera Hora,Policia-Tribunales,http://www.primerahora.com/noticias/policia-tribunales/notas/hombre-enmascarado-ataca-a-tiros-a-hombre-en-su-casa-en-cayey/
2023-03-01,Guardia Costera suspende búsqueda de pescador desaparecido en canal de La Mona,Primera Hora,Policia-Tribunales,http://www.primerahora.com/noticias/policia-tribunales/notas/guardia-costera-suspende-busqueda-de-pescador-desaparecido-en-canal-de-la-mona/
2023-03-01,ATF asume custodia de cuatro pistoleros que le restringieron la libertad a una familia ,Maribel Hernández Pérez,Policia-Tribunales,http://www.primerahora.com/noticias/policia-tribunales/notas/atf-asume-custodia-de-cuatro-pistoleros-que-le-restringueron-la-libertad-a-una-familia/
2023-03-01,Bebé de dos meses sufre múltiples fracturas,Primera Hora,Policia-Tribunales,http://www.primerahora.com/noticias/policia-tribunales/notas/bebe-de-dos-meses-sufre-multiples-fracturas/
