fecha,titulo,enlace,autor
2023-02-21,Chabela y Carlos Esteban Fonseca unen sus voces para cantar las letras de “El Topo”,http://www.primerahora.com/entretenimiento/musica/notas/chabela-y-carlos-esteban-fonseca-unen-sus-voces-para-cantar-las-letras-de-el-topo/,Primera Hora
2023-02-21,India se presentará en el Carnaval de Tenerife,http://www.primerahora.com/entretenimiento/musica/notas/india-se-presentara-en-el-carnaval-de-tenerife/,Primera Hora
2023-02-27,“Lo sé todo” celebra su fórmula ganadora por 10 años,http://www.primerahora.com/entretenimiento/cine-tv/notas/lo-se-todo-celebra-su-formula-ganadora-por-10-anos/,Rosa Escribano Carrasquillo
2023-02-26,"“Cocaine Bear” eclipsa a “Ant-Man”, pero no lo quita de cima",http://www.primerahora.com/entretenimiento/cine-tv/notas/cocaine-bear-eclipsa-a-ant-man-pero-no-lo-quita-de-cima/,The Associated Press
2023-02-25,Paramount enfrenta controversial judicial por “South Park”,http://www.primerahora.com/entretenimiento/cine-tv/notas/paramount-enfrenta-controversial-judicial-por-south-park/,The Associated Press
2023-02-25,"Tras bofetón de Will Smith a Chris Rock, los Oscar preparan un “equipo de crisis”",http://www.primerahora.com/entretenimiento/cine-tv/notas/tras-bofeton-de-will-smith-a-chris-rock-los-oscar-preparan-un-equipo-de-crisis/,El Tiempo / GDA
2023-02-24,En cartelera desde el jueves la película local “Barrote Films”,http://www.primerahora.com/entretenimiento/cine-tv/notas/en-cartelera-desde-el-jueves-la-pelicula-local-barrote-films/,Primera Hora
2023-02-24,TeleOnce estrenará dos telenovelas,http://www.primerahora.com/entretenimiento/cine-tv/notas/teleonce-estrena-dos-telenovelas/,Primera Hora
2023-02-23,Regresa la celebración de la Semana del Cine Español,http://www.primerahora.com/entretenimiento/cine-tv/notas/regresa-la-celebracion-de-la-semanda-del-cine-espanol/,Primera Hora
2023-02-22,Reanuda el rodaje de “Rust” con Alec Baldwin como protagonista,http://www.primerahora.com/entretenimiento/cine-tv/notas/reanuda-el-rodaje-de-rust-con-alec-baldwin-como-protagonista/,Agencia EFE
2023-02-22,Lucía Pamela Noa en “Hoy día Puerto Rico”,http://www.primerahora.com/entretenimiento/cine-tv/notas/lucia-pamela-noa-en-hoy-dia-puerto-rico/,Jomar José Rivera Cedeño
2023-02-21,Inicia segunda temporada de “Mujer•Es”,http://www.primerahora.com/entretenimiento/cine-tv/notas/inicia-segunda-temporada-de-mujeres/,Primera Hora
2023-02-21,Marvel responde al supuesto regreso de Robert Downey Jr. como ‘Iron Man’,http://www.primerahora.com/entretenimiento/cine-tv/notas/marvel-responde-al-supuesto-regreso-de-robert-downey-jr-como-iron-man/,El Tiempo / GDA
2023-02-21,Gabriela Marie Mendoza quiere “amar y ser amada”,http://www.primerahora.com/entretenimiento/cine-tv/notas/gabriela-marie-mendoza-quiere-amar-y-ser-amada/,Pedro Correa Henry
2023-02-21,"“Aquí estoy, aquí está Carlitos”",http://www.primerahora.com/entretenimiento/cine-tv/notas/aqui-estoy-aqui-esta-carlitos/,Pedro Correa Henry
2023-02-21,Alfonso Marcano González está “ready” para conseguir el amor,http://www.primerahora.com/entretenimiento/cine-tv/notas/alfonso-marcano-gonzalez-esta-ready-para-conseguir-el-amor/,Pedro Correa Henry
2023-02-21,"""¡Que sí, que sí!"": así se vive un día en el set de ""Enamorándonos""",http://www.primerahora.com/entretenimiento/cine-tv/fotogalerias/que-si-que-si-asi-se-vive-un-dia-en-el-set-de-enamorandonos/,No autor
2023-02-21,Jesús Delgado afirma que ha vuelto a vivir en “Enamorándonos”,http://www.primerahora.com/entretenimiento/cine-tv/notas/jesus-delgado-afirma-que-ha-vuelto-a-vivir-en-enamorandonos/,Pedro Correa Henry
2023-02-21,Rafael Araneda: “Enamorándonos” es una “celebración del compromiso”,http://www.primerahora.com/entretenimiento/cine-tv/notas/rafael-araneda-enamorandonos-es-una-celebracion-del-compromiso/,Pedro Correa Henry
2023-02-21,Madison se queda y Aleida es eliminada de “La casa de los famosos”,http://www.primerahora.com/entretenimiento/cine-tv/notas/madison-anderson-cuenta-con-el-apoyo-del-publico-para-continuar-en-la-casa-de-los-famosos/,Primera Hora
2023-02-21,Ana Patricia Gámez confía que no hay barreras para encontrar el amor en “Enamorándonos”,http://www.primerahora.com/entretenimiento/cine-tv/notas/ana-patricia-gamez-confia-que-no-hay-barreras-para-encontrar-el-amor-en-enamorandonos/,Pedro Correa Henry
2023-02-20,En estado crítico el actor Tom Sizemore,http://www.primerahora.com/entretenimiento/cine-tv/notas/en-estado-critico-el-actor-tom-sizemore/,Agencia EFE
2023-02-19,"Fallece Richard Belzer, estrella de la serie “Law & Order”",http://www.primerahora.com/entretenimiento/cine-tv/notas/fallece-richard-belzer-estrella-de-la-serie-law-order/,The Associated Press
2023-02-19,Guillermo Del Toro gana el Bafta a la mejor película animada con “Pinocchio”,http://www.primerahora.com/entretenimiento/cine-tv/notas/guillermo-del-toro-gana-el-bafta-a-la-mejor-pelicula-animada-con-pinocchio/,Agencia EFE
2023-02-19,Estreno de “Ant-Man and the Wasp: Quantumania” arrasa en taquillas,http://www.primerahora.com/entretenimiento/cine-tv/notas/estreno-de-ant-man-and-the-wasp-quantumania-arrasa-en-taquillas/,The Associated Press
2023-02-19,“La Burbu” revela lo que le prohíben hacer en su programa de televisión,http://www.primerahora.com/entretenimiento/cine-tv/notas/la-burbu-revela-lo-que-le-prohiben-hacer-en-su-programa-de-television/,Primera Hora
2023-02-19,Hay caos en las grabaciones de la secuela de “Joker”,http://www.primerahora.com/entretenimiento/cine-tv/notas/hay-caos-en-las-grabaciones-de-la-secuela-de-joker/,El Tiempo / GDA
2023-02-18,Lady Gaga publica la primera foto como protagonista de la secuela de “Joker” ,http://www.primerahora.com/entretenimiento/cine-tv/notas/lady-gaga-publica-la-primera-foto-como-protagonista-de-la-secuela-de-joker/,Agencia EFE
