fecha,titulo,enlace,autor
2023-02-26 00:00:00,Los Braves pierden por una infracción con el reloj de pitcheo,http://www.primerahora.com/deportes/beisbol/notas/los-braves-pierden-por-una-infraccion-con-el-reloj-de-pitcheo/,The Associated Press
2023-02-25 00:00:00,Joya monticular de Luis Leroy Cruz en triunfo de los Pescadores del Plata,http://www.primerahora.com/deportes/beisbol/notas/joya-monticular-de-luis-leroy-cruz-en-triunfo-de-los-pescadores-del-plata/,Primera Hora
2023-02-25 00:00:00,El reloj de pitcheo debutó en MLB y Manny Machado fue su primera víctima,http://www.primerahora.com/deportes/beisbol/notas/el-reloj-de-pitcheo-debuto-en-mlb-y-manny-machado-fue-su-primera-victima/,The Associated Press
2023-03-02 00:00:00,Manny Rodríguez disputará el vacante título de las 118 libras,http://www.primerahora.com/deportes/boxeo/notas/manny-rodriguez-disputara-el-vacante-titulo-de-las-118-libras/,Carlos González
2023-03-02 00:00:00,Xander Zayas quiere ubicarse entre los principales aspirantes dentro de las 154 libras,http://www.primerahora.com/deportes/boxeo/notas/xander-zayas-quiere-ubicarse-entre-los-principales-aspirantes-dentro-de-las-154-libras/,Primera Hora
2023-03-01 00:00:00,Fajardo celebra al nuevo campeón Subriel Matías,http://www.primerahora.com/deportes/boxeo/notas/fajardo-celebra-al-nuevo-campeon-subriel-matias/,Carlos González
2023-02-28 00:00:00,Una lesión en la mano izquierda de Amanda Serrano fuerza posposición de revancha con Katie Taylor,http://www.primerahora.com/deportes/boxeo/notas/amanda-serrano-sufre-una-lesion-y-posponen-la-revancha-contra-katie-taylor/,Primera Hora
2023-02-28 00:00:00,Miguel Cotto Promotions obtiene los derechos para la pelea entre Oscar Collazo y Melvin Jerusalem,http://www.primerahora.com/deportes/boxeo/notas/miguel-cotto-promotions-obtiene-los-derechos-para-la-pelea-entre-oscar-collazo-y-melvin-jerusalem/,Carlos González
2023-02-27 00:00:00,Jake Paul pierde por decisión dividida ante Tommy Fury,http://www.primerahora.com/deportes/boxeo/notas/jake-paul-pierde-por-decision-dividida-ante-tommy-fury/,The Associated Press
2023-02-26 00:00:00,Subriel Matías alcanza la gloria tras vivir mil infiernos ,http://www.primerahora.com/deportes/boxeo/notas/subriel-matias-alcanza-la-gloria-tras-vivir-mil-infiernos/,Fernando Ribas Reyes
2023-02-26 00:00:00,Subriel Matías noquea a Jeremías Ponce y se convierte en el  nuevo campeón mundial,http://www.primerahora.com/deportes/boxeo/notas/subriel-matias-noquea-a-jeremias-ponce-y-se-convierte-en-el-nuevo-campeon-mundial/,Agencia EFE
2023-02-24 00:00:00,Subriel Matías y Jeremías Ponce marcaron por debajo de las 140 libras,http://www.primerahora.com/deportes/boxeo/notas/subriel-matias-y-jeremias-ponce-marcaron-por-debajo-de-las-140-libras/,Primera Hora
